Name                                                                                                Stmts   Miss  Cover
polaris\cells\roles\kernel\internal\speculation\models.py                                             115     13    89%
polaris\cells\roles\kernel\internal\speculation\registry.py                                           226    192    15%
polaris\cells\roles\kernel\internal\speculation\resolver.py                                            68     57    16%
polaris\cells\roles\kernel\internal\speculation\salvage.py                                             40     31    22%
polaris\cells\roles\kernel\internal\speculation\stability_scorer.py                                    82     59    28%
polaris\cells\roles\kernel\internal\speculation\task_group.py                                          65     49    25%
polaris\cells\roles\kernel\internal\speculation\write_phases.py                                        32     21    34%
polaris\cells\roles\kernel\internal\speculative_executor.py                                            48     32    33%
polaris\cells\roles\kernel\internal\speculative_flags.py                                               13      8    38%
polaris\cells\roles\kernel\internal\stream_shadow_engine.py                                           124     96    23%
polaris\cells\roles\kernel\internal\token_budget.py                                                    84     49    42%
polaris\cells\roles\kernel\internal\tool_batch_runtime.py                                             259    194    25%
polaris\cells\roles\kernel\internal\tool_gateway.py                                                   270    223    17%
polaris\cells\roles\kernel\internal\tool_loop_controller.py                                           479    397    17%
polaris\cells\roles\kernel\internal\transaction\__init__.py                                            12      0   100%
polaris\cells\roles\kernel\internal\transaction\cognitive_gateway.py                                  308    257    17%
polaris\cells\roles\kernel\internal\transaction\constants.py                                           50     16    68%
polaris\cells\roles\kernel\internal\transaction\contract_guards.py                                    272    228    16%
polaris\cells\roles\kernel\internal\transaction\delivery_contract.py                                  142     26    82%
polaris\cells\roles\kernel\internal\transaction\effect_policy.py                                      109     61    44%
polaris\cells\roles\kernel\internal\transaction\finalization.py                                       213    186    13%
polaris\cells\roles\kernel\internal\transaction\handoff_handlers.py                                   151    130    14%
polaris\cells\roles\kernel\internal\transaction\intent_classifier.py                                  145    121    17%
polaris\cells\roles\kernel\internal\transaction\intent_embedding_router.py                            111     82    26%
polaris\cells\roles\kernel\internal\transaction\ledger.py                                             170     90    47%
polaris\cells\roles\kernel\internal\transaction\modification_contract.py                              127     93    27%
polaris\cells\roles\kernel\internal\transaction\phase_manager.py                                      134     88    34%
polaris\cells\roles\kernel\internal\transaction\read_strategy.py                                      121     97    20%
polaris\cells\roles\kernel\internal\transaction\receipt_utils.py                                      106     91    14%
polaris\cells\roles\kernel\internal\transaction\retry_orchestrator.py                                 466    430     8%
polaris\cells\roles\kernel\internal\transaction\slm_coprocessor.py                                    106     78    26%
polaris\cells\roles\kernel\internal\transaction\stream_orchestrator.py                                446    402    10%
polaris\cells\roles\kernel\internal\transaction\task_contract_builder.py                              229    210     8%
polaris\cells\roles\kernel\internal\transaction\tool_batch_executor.py                                459    415    10%
polaris\cells\roles\kernel\internal\transaction\tool_failure_circuit_breaker.py                       167    118    29%
polaris\cells\roles\kernel\internal\transaction\tool_sequence_templates.py                             60     52    13%
polaris\cells\roles\kernel\internal\transaction\truthlog_recorder.py                                  137     93    32%
polaris\cells\roles\kernel\internal\transaction\write_authority.py                                     64     50    22%
polaris\cells\roles\kernel\internal\transaction_kernel.py                                              13      4    69%
polaris\cells\roles\kernel\internal\turn_decision_decoder.py                                          144    114    21%
polaris\cells\roles\kernel\internal\turn_state_machine.py                                             152     83    45%
polaris\cells\roles\kernel\internal\turn_transaction_controller.py                                    714    576    19%
polaris\cells\roles\kernel\public\__init__.py                                                          13      6    54%
polaris\cells\roles\kernel\public\config.py                                                            50     32    36%
polaris\cells\roles\kernel\public\contracts.py                                                        145     49    66%
polaris\cells\roles\kernel\public\prompt_templates_facade.py                                            2      0   100%
polaris\cells\roles\kernel\public\service.py                                                           29      6    79%
polaris\cells\roles\kernel\public\transaction_contracts.py                                              7      0   100%
polaris\cells\roles\kernel\public\turn_contracts.py                                                   228     29    87%
polaris\cells\roles\kernel\public\turn_events.py                                                      155     41    74%
polaris\cells\roles\kernel\public\workflow_contracts.py                                                 3      0   100%
polaris\cells\roles\profile\__init__.py                                                                 2      0   100%
polaris\cells\roles\profile\internal\__init__.py                                                        0      0   100%
polaris\cells\roles\profile\internal\registry.py                                                      221    182    18%
polaris\cells\roles\profile\internal\schema.py                                                        291     61    79%
polaris\cells\roles\profile\public\__init__.py                                                          3      0   100%
polaris\cells\roles\profile\public\contracts.py                                                        97     32    67%
polaris\cells\roles\profile\public\service.py                                                           6      1    83%
polaris\cells\roles\runtime\__init__.py                                                                13      7    46%
polaris\cells\roles\runtime\internal\__init__.py                                                       14      6    57%
polaris\cells\roles\runtime\internal\agent_runtime_base.py                                            612    477    22%
polaris\cells\roles\runtime\internal\bus_port.py                                                      137    110    20%
polaris\cells\roles\runtime\internal\continuation_policy.py                                           339    266    22%
polaris\cells\roles\runtime\internal\protocol_fsm.py                                                  162    113    30%
polaris\cells\roles\runtime\internal\role_domain_policy.py                                             43     23    47%
polaris\cells\roles\runtime\internal\sequential_engine.py                                             429    263    39%
polaris\cells\roles\runtime\internal\session_artifact_store.py                                         83     67    19%
polaris\cells\roles\runtime\internal\session_orchestrator.py                                          865    775    10%
polaris\cells\roles\runtime\internal\skill_loader.py                                                  149    108    28%
polaris\cells\roles\runtime\internal\worker_pool.py                                                   442    342    23%
polaris\cells\roles\runtime\public\__init__.py                                                         16      4    75%
polaris\cells\roles\runtime\public\cli_runner.py                                                      151    136    10%
polaris\cells\roles\runtime\public\context_adapter.py                                                 120    108    10%
polaris\cells\roles\runtime\public\contracts.py                                                       201     84    58%
polaris\cells\roles\runtime\public\persistence.py                                                     102     89    13%
polaris\cells\roles\runtime\public\service.py                                                         392    303    23%
polaris\cells\roles\session\__init__.py                                                                 2      0   100%
polaris\cells\roles\session\internal\__init__.py                                                        2      0   100%
polaris\cells\roles\session\internal\artifact_service.py                                              106     71    33%
polaris\cells\roles\session\internal\context_memory_service.py                                         74     52    30%
polaris\cells\roles\session\internal\conversation.py                                                  132     65    51%
polaris\cells\roles\session\internal\data_store.py                                                    190    147    23%
polaris\cells\roles\session\internal\role_session_service.py                                          344    276    20%
polaris\cells\roles\session\internal\session_attachment.py                                             21      1    95%
polaris\cells\roles\session\internal\session_persistence.py                                           180    135    25%
polaris\cells\roles\session\internal\storage_paths.py                                                  11      5    55%
polaris\cells\roles\session\public\__init__.py                                                         15      4    73%
polaris\cells\roles\session\public\contracts.py                                                       196     76    61%
polaris\cells\runtime\__init__.py                                                                       4      0   100%
polaris\cells\runtime\artifact_store\__init__.py                                                        2      0   100%
polaris\cells\runtime\artifact_store\internal\__init__.py                                               0      0   100%
polaris\cells\runtime\artifact_store\internal\arrow_service.py                                         30     16    47%
polaris\cells\runtime\artifact_store\internal\artifact_paths.py                                        85     71    16%
polaris\cells\runtime\artifact_store\internal\artifacts.py                                            387    352     9%
polaris\cells\runtime\artifact_store\public\__init__.py                                                 3      0   100%
polaris\cells\runtime\artifact_store\public\contracts.py                                               70     26    63%
polaris\cells\runtime\artifact_store\public\service.py                                                  6      0   100%
polaris\cells\runtime\execution_broker\__init__.py                                                      1      0   100%
polaris\cells\runtime\execution_broker\internal\__init__.py                                             1      0   100%
polaris\cells\runtime\execution_broker\internal\service.py                                            235    190    19%
polaris\cells\runtime\execution_broker\public\__init__.py                                               4      0   100%
polaris\cells\runtime\execution_broker\public\contracts.py                                            115     40    65%
polaris\cells\runtime\execution_broker\public\service.py                                                3      0   100%
polaris\cells\runtime\projection\__init__.py                                                            2      0   100%
polaris\cells\runtime\projection\internal\__init__.py                                                   0      0   100%
polaris\cells\runtime\projection\internal\constants.py                                                  5      0   100%
polaris\cells\runtime\projection\internal\director_runtime_status.py                                   40     32    20%
polaris\cells\runtime\projection\internal\file_io.py                                                  165    150     9%
polaris\cells\runtime\projection\internal\io_helpers.py                                                25     14    44%
polaris\cells\runtime\projection\internal\llm_status.py                                                55     42    24%
polaris\cells\runtime\projection\internal\memos_query_service.py                                       96     81    16%
polaris\cells\runtime\projection\internal\runtime_projection_service.py                               522    445    15%
polaris\cells\runtime\projection\internal\runtime_v2.py                                               192      2    99%
